animal.MouseID,assay.assay,Weight,Pregnancy,Treatment,experiment.time
7822,Body Weight,18.9,Pregnant,Water,-14
7822,Lean Mass,13.72,Pregnant,Water,-14
7822,Total Fat Mass,2.88,Pregnant,Water,-14
7822,Free Water,0.038,Pregnant,Water,-14
7822,Body Weight,19.2,Pregnant,Water,-7
7822,Total Fat Mass,3.12,Pregnant,Water,-7
7822,Lean Mass,14.31,Pregnant,Water,-7
7822,Free Water,0.022,Pregnant,Water,-7
7822,Body Weight,18.7,Pregnant,Water,0
7822,Total Fat Mass,2.67,Pregnant,Water,0
7822,Lean Mass,14.49,Pregnant,Water,0
7822,Free Water,0.015,Pregnant,Water,0
7822,Body Weight,19.6,Pregnant,Water,7
7822,Total Fat Mass,2.25,Pregnant,Water,7
7822,Lean Mass,15.9,Pregnant,Water,7
7822,Free Water,0.13,Pregnant,Water,7
7822,Body Weight,21.5,Pregnant,Water,14
7822,Total Fat Mass,1.92,Pregnant,Water,14
7822,Lean Mass,17.89,Pregnant,Water,14
7822,Free Water,0.13,Pregnant,Water,14
7822,Body Weight,28,Pregnant,Water,21
7822,Total Fat Mass,2.57,Pregnant,Water,21
7822,Lean Mass,22.33,Pregnant,Water,21
7822,Free Water,1.16,Pregnant,Water,21
7822,Body Weight,25.5,Pregnant,Water,28
7822,Total Fat Mass,2.46,Pregnant,Water,28
7822,Lean Mass,21.12,Pregnant,Water,28
7822,Free Water,0.09,Pregnant,Water,28
7822,Body Weight,27.5,Pregnant,Water,35
7822,Total Fat Mass,2.67,Pregnant,Water,35
7822,Lean Mass,23.41,Pregnant,Water,35
7822,Free Water,0.15,Pregnant,Water,35
7822,Body Weight,26.4,Pregnant,Water,77
7822,Total Fat Mass,2.53,Pregnant,Water,77
7822,Lean Mass,21,Pregnant,Water,77
7863,Body Weight,18,Pregnant,Water,-14
7863,Total Fat Mass,1.29,Pregnant,Water,-14
7863,Lean Mass,14.79,Pregnant,Water,-14
7863,Free Water,0.014,Pregnant,Water,-14
7863,Body Weight,18.9,Pregnant,Water,-7
7863,Total Fat Mass,2.06,Pregnant,Water,-7
7863,Lean Mass,14.95,Pregnant,Water,-7
7863,Free Water,0.004,Pregnant,Water,-7
7863,Body Weight,18.5,Pregnant,Water,0
7863,Total Fat Mass,1.32,Pregnant,Water,0
7863,Lean Mass,15.28,Pregnant,Water,0
7863,Free Water,0.006,Pregnant,Water,0
7863,Body Weight,19.5,Pregnant,Water,7
7863,Total Fat Mass,1.15,Pregnant,Water,7
7863,Lean Mass,16.45,Pregnant,Water,7
7863,Free Water,0.39,Pregnant,Water,7
7863,Body Weight,22.7,Pregnant,Water,14
7863,Total Fat Mass,1.93,Pregnant,Water,14
7863,Lean Mass,18.55,Pregnant,Water,14
7863,Free Water,0.07,Pregnant,Water,14
7863,Body Weight,28.6,Pregnant,Water,21
7863,Total Fat Mass,2.63,Pregnant,Water,21
7863,Lean Mass,22.64,Pregnant,Water,21
7863,Free Water,0.87,Pregnant,Water,21
7863,Body Weight,24.8,Pregnant,Water,28
7863,Total Fat Mass,2.27,Pregnant,Water,28
7863,Lean Mass,20.34,Pregnant,Water,28
7863,Free Water,0,Pregnant,Water,28
7863,Body Weight,28,Pregnant,Water,35
7863,Total Fat Mass,2.62,Pregnant,Water,35
7863,Lean Mass,23.6,Pregnant,Water,35
7863,Free Water,0.11,Pregnant,Water,35
7863,Body Weight,27.9,Pregnant,Water,77
7863,Total Fat Mass,2.91,Pregnant,Water,77
7863,Lean Mass,21.87,Pregnant,Water,77
7843,Body Weight,19.5,Pregnant,Water,-14
7843,Total Fat Mass,2.52,Pregnant,Water,-14
7843,Lean Mass,15.04,Pregnant,Water,-14
7843,Free Water,0,Pregnant,Water,-14
7843,Body Weight,19.6,Pregnant,Water,-7
7843,Total Fat Mass,1.82,Pregnant,Water,-7
7843,Lean Mass,15.9,Pregnant,Water,-7
7843,Free Water,0.068,Pregnant,Water,-7
7843,Body Weight,19.4,Pregnant,Water,0
7843,Total Fat Mass,1.82,Pregnant,Water,0
7843,Lean Mass,16.32,Pregnant,Water,0
7843,Free Water,0.022,Pregnant,Water,0
7843,Body Weight,20.6,Pregnant,Water,7
7843,Total Fat Mass,1.54,Pregnant,Water,7
7843,Lean Mass,17.47,Pregnant,Water,7
7843,Free Water,0.21,Pregnant,Water,7
7843,Body Weight,22.2,Pregnant,Water,14
7843,Total Fat Mass,2.22,Pregnant,Water,14
7843,Lean Mass,18.31,Pregnant,Water,14
7843,Free Water,0.01,Pregnant,Water,14
7843,Body Weight,29.5,Pregnant,Water,21
7843,Total Fat Mass,2.56,Pregnant,Water,21
7843,Lean Mass,23.3,Pregnant,Water,21
7843,Free Water,1.17,Pregnant,Water,21
7843,Body Weight,27.3,Pregnant,Water,28
7843,Total Fat Mass,2.91,Pregnant,Water,28
7843,Lean Mass,22,Pregnant,Water,28
7843,Free Water,0.58,Pregnant,Water,28
7843,Body Weight,28.6,Pregnant,Water,35
7843,Total Fat Mass,3.07,Pregnant,Water,35
